time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,95914,2011-04-13 21:52:37.062908,M003,OFF,,,2011-04-13 21:52:37.062908,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.007638,4,0,785,262,1,no_activity,[],19,3
2,95915,2011-04-13 21:52:40.447758,M003,ON,,,2011-04-13 21:52:40.447758,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:03.384850,4,0,785,262,1,no_activity,[],19,3
3,95916,2011-04-13 21:52:41.261871,M007,ON,,,2011-04-13 21:52:41.261871,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_ON,0 days 00:00:00.814113,4,0,963,271,1,no_activity,[],19,3
4,95917,2011-04-13 21:52:44.169411,M003,OFF,,,2011-04-13 21:52:44.169411,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.907540,4,0,785,262,1,no_activity,[],19,3
5,95918,2011-04-13 21:52:44.773384,M007,OFF,,,2011-04-13 21:52:44.773384,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_OFF,0 days 00:00:00.603973,4,0,963,271,1,no_activity,[],19,3
6,95919,2011-04-13 21:52:45.149793,M003,ON,,,2011-04-13 21:52:45.149793,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:00.376409,4,0,785,262,1,no_activity,[],19,3
7,95920,2011-04-13 21:52:46.309681,M003,OFF,,,2011-04-13 21:52:46.309681,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.159888,4,0,785,262,1,no_activity,[],19,3
8,95921,2011-04-13 21:52:50.355949,M003,ON,,,2011-04-13 21:52:50.355949,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:04.046268,4,0,785,262,1,no_activity,[],19,3
9,95922,2011-04-13 21:52:52.000415,M003,OFF,,,2011-04-13 21:52:52.000415,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.644466,4,0,785,262,1,no_activity,[],19,3
10,95923,2011-04-13 21:53:00.201031,M003,ON,,,2011-04-13 21:53:00.201031,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:08.200616,4,0,785,262,1,no_activity,[],19,3
11,95924,2011-04-13 21:53:02.630801,M003,OFF,,,2011-04-13 21:53:02.630801,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.429770,4,0,785,262,1,no_activity,[],19,3
12,95925,2011-04-13 21:53:38.30769,M003,ON,,,2011-04-13 21:53:38.307690,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:35.676889,4,0,785,262,1,no_activity,[],19,3
13,95926,2011-04-13 21:53:40.26891,M003,OFF,,,2011-04-13 21:53:40.268910,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.961220,4,0,785,262,1,no_activity,[],19,3
14,95927,2011-04-13 21:54:04.847606,M003,ON,,,2011-04-13 21:54:04.847606,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:24.578696,4,0,785,262,1,no_activity,[],19,3
15,95928,2011-04-13 21:54:09.644185,M003,OFF,,,2011-04-13 21:54:09.644185,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:04.796579,4,0,785,262,1,no_activity,[],19,3
16,95929,2011-04-13 21:54:10.596564,M003,ON,,,2011-04-13 21:54:10.596564,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:00.952379,4,0,785,262,1,no_activity,[],19,3
17,95930,2011-04-13 21:54:12.888772,M003,OFF,,,2011-04-13 21:54:12.888772,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.292208,4,0,785,262,1,no_activity,[],19,3
18,95931,2011-04-13 21:54:19.862197,M003,ON,,,2011-04-13 21:54:19.862197,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:06.973425,4,0,785,262,1,no_activity,[],19,3
19,95932,2011-04-13 21:54:21.866106,M003,OFF,,,2011-04-13 21:54:21.866106,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.003909,4,0,785,262,1,no_activity,[],19,3
20,95933,2011-04-13 21:55:57.820827,M003,ON,,,2011-04-13 21:55:57.820827,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:01:35.954721,4,0,785,262,1,no_activity,[],19,3
