time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,82502,2009-12-02 05:50:35.000046,M028,ON,,,2009-12-02 05:50:35.000046,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[588, 2038]",2009-12-02,5,early_morning,wed,M028_ON,0 days 00:00:00.000001,3,0,588,2038,1,Sleep,['Sleep'],18,0
2,82504,2009-12-02 05:50:39.000007,M020,ON,,,2009-12-02 05:50:39.000007,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[387, 1916]",2009-12-02,5,early_morning,wed,M020_ON,0 days 00:00:01.999981,3,0,387,1916,1,Sleep,['Sleep'],18,0
3,82507,2009-12-02 05:50:53.000097,M019,ON,,,2009-12-02 05:50:53.000097,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[1233, 1682]",2009-12-02,5,early_morning,wed,M019_ON,0 days 00:00:01.000089,3,0,1233,1682,1,Sleep,['Sleep'],18,0
4,82509,2009-12-02 05:51:00.000047,M026,ON,,,2009-12-02 05:51:00.000047,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[1332, 2242]",2009-12-02,5,early_morning,wed,M026_ON,0 days 00:00:00.999981,3,0,1332,2242,1,Sleep,['Sleep'],18,0
5,82511,2009-12-02 05:51:02.000074,M008,ON,,,2009-12-02 05:51:02.000074,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[1475, 1943]",2009-12-02,5,early_morning,wed,M008_ON,0 days 00:00:00.000045,3,0,1475,1943,1,Sleep,['Sleep'],18,0
6,82512,2009-12-02 05:51:05.000057,M026,ON,,,2009-12-02 05:51:05.000057,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[1332, 2242]",2009-12-02,5,early_morning,wed,M026_ON,0 days 00:00:02.999983,3,0,1332,2242,1,Sleep,['Sleep'],18,0
7,82515,2009-12-02 05:51:12.000071,M026,ON,,,2009-12-02 05:51:12.000071,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[1332, 2242]",2009-12-02,5,early_morning,wed,M026_ON,0 days 00:00:03.000017,3,0,1332,2242,1,Sleep,['Sleep'],18,0
8,82516,2009-12-02 05:51:17.000063,M006,ON,,,2009-12-02 05:51:17.000063,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[1651, 2439]",2009-12-02,5,early_morning,wed,M006_ON,0 days 00:00:04.999992,3,0,1651,2439,1,Sleep,['Sleep'],18,0
9,82519,2009-12-02 05:51:39.000078,M005,ON,,,2009-12-02 05:51:39.000078,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[2164, 2507]",2009-12-02,5,early_morning,wed,M005_ON,0 days 00:00:16.000064,3,0,2164,2507,1,Sleep,['Sleep'],18,0
10,82521,2009-12-02 05:52:14.000037,M005,ON,,,2009-12-02 05:52:14.000037,,['Sleep'],1,Sleep,Sleep,str,False,Sleep,"[2164, 2507]",2009-12-02,5,early_morning,wed,M005_ON,0 days 00:00:00.999945,3,0,2164,2507,1,Sleep,['Sleep'],18,0
